epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0348,1.91035,2.64589,2.12006,0.00542,2.84757,0.19187,0.10992,0.05753,0.01764,0.1743,0.10217,0.04947,0.0145,2.26023,4.56985,3.66409,0.01268,0,0.000331263,0.000331263,0.067205
2,100.679,1.87458,2.44697,1.77463,0.00523,2.22898,0.32209,0.16622,0.1163,0.04656,0.35617,0.18127,0.13504,0.0542,1.9654,2.89746,2.53874,0.01072,0,0.000664596,0.000664596,0.034205
3,146.09,1.88876,2.43705,1.75977,0.00516,2.16418,0.32975,0.1695,0.12684,0.04504,0.3883,0.1826,0.14906,0.05294,2.19973,3.2789,2.9602,0.01203,0,0.00099793,0.00099793,0.00120497
4,190.682,1.90525,2.46723,1.75966,0.00535,2.11864,0.29357,0.18558,0.11216,0.05035,0.3237,0.20971,0.13588,0.06161,nan,nan,nan,nan,0,0.001,0.001,0.001
5,235.138,1.87185,2.37759,1.67345,0.00515,1.9605,0.30512,0.17456,0.12197,0.05288,0.32165,0.19065,0.13869,0.06515,2.04182,2.81381,2.69776,0.01198,0,0.001,0.001,0.001
6,279.848,1.8523,2.3727,1.62637,0.00516,1.83667,0.36933,0.19124,0.14089,0.06192,0.41253,0.20882,0.16522,0.07698,2.07849,2.68181,2.26393,0.01193,0,0.001,0.001,0.001
7,324.532,1.85168,2.34605,1.63976,0.00516,1.84073,0.46095,0.20435,0.18241,0.08381,0.50126,0.2115,0.19574,0.09343,2.00777,2.9571,1.97546,0.01152,0,0.001,0.001,0.001
8,368.996,1.85089,2.32087,1.59618,0.00508,1.80841,0.47818,0.19929,0.18032,0.08404,0.52437,0.21716,0.20618,0.10279,2.00431,2.57106,1.96386,0.01142,0,0.001,0.001,0.001
9,413.799,1.84797,2.31988,1.59744,0.00515,1.85173,0.41238,0.20137,0.15661,0.07652,0.43204,0.21299,0.17183,0.08969,1.96086,2.54563,2.02836,0.01124,0,0.001,0.001,0.001
10,458.077,1.82032,2.29325,1.58072,0.00502,1.82488,0.38075,0.19214,0.15067,0.07051,0.4255,0.20405,0.16855,0.08391,1.96263,2.60238,2.17155,0.01131,0,0.001,0.001,0.001
11,502.306,1.83185,2.29625,1.58275,0.00514,1.81747,0.40608,0.1945,0.16688,0.07794,0.42748,0.20941,0.1849,0.09282,1.95997,2.57317,2.11102,0.01102,0,0.001,0.001,0.001
12,546.819,1.81558,2.28255,1.5684,0.00496,1.74299,0.4386,0.21209,0.17496,0.08136,0.47122,0.22937,0.1948,0.09738,1.97268,2.60128,1.89702,0.01129,0,0.001,0.001,0.001
13,591.075,1.81771,2.26411,1.54387,0.00501,1.76089,0.40991,0.20524,0.17101,0.08097,0.45699,0.22212,0.19592,0.09685,1.9152,2.52643,1.98778,0.01088,0,0.001,0.001,0.001
14,635.065,1.81712,2.28653,1.57733,0.00513,1.80407,0.40783,0.19392,0.15209,0.06035,0.44588,0.2106,0.17741,0.07672,2.09514,2.85792,2.32529,0.01214,0,0.001,0.001,0.001
15,679.665,1.80504,2.25489,1.52053,0.00489,1.68439,0.42427,0.17825,0.146,0.06457,0.46469,0.19523,0.16704,0.07767,2.06182,2.78071,3.09904,0.01183,0,0.001,0.001,0.001
16,724.312,1.81375,2.28243,1.53046,0.0049,1.70596,0.41244,0.21349,0.17619,0.08098,0.44396,0.23384,0.20041,0.10006,1.96253,2.45103,2.02643,0.01109,0,0.001,0.001,0.001
17,768.742,1.78871,2.24914,1.50893,0.00487,1.68832,0.51843,0.2112,0.19405,0.09262,0.51739,0.22997,0.21574,0.11232,1.91971,2.41189,1.98125,0.01056,0,0.001,0.001,0.001
18,813.602,1.7963,2.23639,1.50902,0.0049,1.72596,0.46675,0.19392,0.17003,0.08083,0.48925,0.21087,0.19195,0.10151,1.97162,2.48836,2.16021,0.01121,0,0.001,0.001,0.001
19,858.066,1.79758,2.25865,1.50044,0.00496,1.64062,0.46369,0.21299,0.18775,0.09427,0.49195,0.22848,0.20604,0.10786,1.82879,2.49934,1.79063,0.01026,0,0.001,0.001,0.001
20,902.852,1.79152,2.22593,1.47646,0.00479,1.6443,0.43424,0.20256,0.16264,0.07669,0.46076,0.21954,0.18053,0.09081,1.90345,2.68236,1.89357,0.01089,0,0.001,0.001,0.001
21,947.13,1.7781,2.23069,1.504,0.00495,1.68969,0.42587,0.20262,0.17065,0.07687,0.45088,0.21537,0.18764,0.096,1.92595,2.34199,1.8994,0.01118,0,0.001,0.001,0.001
22,991.605,1.76735,2.21131,1.52491,0.00484,1.6538,0.51958,0.20346,0.19113,0.09208,0.55511,0.22073,0.2138,0.1105,1.90396,2.36198,1.77526,0.01111,0,0.001,0.001,0.001
23,1035.74,1.77555,2.2024,1.45514,0.00484,1.54175,0.47402,0.19035,0.17277,0.07678,0.51286,0.20912,0.19655,0.08956,2.00945,2.6471,2.04037,0.01157,0,0.001,0.001,0.001
24,1080.16,1.74997,2.16895,1.45368,0.00467,1.52948,0.47539,0.21746,0.1821,0.08847,0.51452,0.23056,0.19988,0.09992,1.83181,2.38614,1.76226,0.01033,0,0.001,0.001,0.001
