epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,72.3308,1.99592,2.77097,2.51355,0.00589,3.07935,0.2573,0.17557,0.08773,0.03854,0.24311,0.16263,0.08754,0.0352,2.12045,3.25859,2.65863,0.00653,0,0.000657407,0.000657407,0.067787
2,107.501,1.94807,2.38997,1.90562,0.0058,2.05455,0.36594,0.22652,0.15584,0.0685,0.37031,0.21728,0.1596,0.08387,2.05809,2.58848,2.23533,0.00636,0,0.00131105,0.00131105,0.0351073
3,142.866,1.96356,2.39042,1.81378,0.00588,1.92657,0.13964,0.1315,0.04011,0.01133,0.14895,0.15773,0.0476,0.01787,2.68443,2.68789,3.33603,0.00912,0,0.00191329,0.00191329,0.00237625
4,177.831,2.02179,2.41236,1.81892,0.00619,1.99426,0.18878,0.16024,0.06476,0.02587,0.15858,0.13007,0.05861,0.02406,2.28606,3.15191,3.66246,0.00731,0,0.00182812,0.00182812,0.00182812
5,212.92,1.93742,2.29937,1.73914,0.00582,1.83189,0.40547,0.21038,0.15375,0.06376,0.41165,0.22361,0.15706,0.08364,2.05228,2.59678,2.03748,0.00656,0,0.00170222,0.00170222,0.00170222
6,247.756,1.91967,2.26244,1.71722,0.0058,1.74037,0.44873,0.26509,0.21338,0.08881,0.48737,0.27754,0.23227,0.11839,2.00832,2.24297,1.79042,0.00618,0,0.00155,0.00155,0.00155
7,283.114,1.8991,2.18861,1.67731,0.00555,1.58141,0.58661,0.2638,0.26001,0.09989,0.61529,0.27186,0.27653,0.16993,2.04368,2.19007,1.50396,0.00629,0,0.00137812,0.00137812,0.00137812
8,318.564,1.84822,2.15804,1.63003,0.00536,1.6419,0.56335,0.26068,0.25273,0.12897,0.5868,0.27235,0.26669,0.167,1.99423,2.12749,1.4973,0.00602,0,0.00119408,0.00119408,0.00119408
9,353.924,1.81796,2.11291,1.56522,0.00524,1.58755,0.59046,0.27046,0.26298,0.13866,0.59935,0.27813,0.27306,0.17786,1.84854,2.17429,1.42676,0.0055,0,0.00100592,0.00100592,0.00100592
10,389.308,1.78257,2.08134,1.52791,0.00508,1.4712,0.66429,0.25648,0.26471,0.12949,0.66833,0.26574,0.27238,0.17545,1.86442,2.1869,1.42559,0.00562,0,0.000821885,0.000821885,0.000821885
11,429.398,2.26434,2.41635,2.01807,0.00567,1.52357,0.68611,0.28967,0.28806,0.15138,0.68174,0.29487,0.29321,0.19163,1.8054,2.08524,1.50741,0.00528,0,0.00065,0.00065,0.00065
12,465.994,2.14296,2.16426,1.8346,0.00525,1.39976,0.67165,0.29364,0.28981,0.15223,0.70292,0.29905,0.29706,0.19998,1.76788,2.01417,1.44301,0.00517,0,0.000497782,0.000497782,0.000497782
13,502.42,2.09376,2.09675,1.79696,0.00503,1.40542,0.64796,0.29822,0.28613,0.15703,0.66072,0.30736,0.29949,0.19818,1.78338,1.95898,1.47371,0.00512,0,0.000371885,0.000371885,0.000371885
14,538.112,2.07553,2.06606,1.77007,0.00496,1.33532,0.65415,0.29569,0.29065,0.16805,0.67248,0.30447,0.29913,0.20593,1.7281,1.94342,1.41752,0.00489,0,0.000277809,0.000277809,0.000277809
15,574.58,2.04674,2.03994,1.74889,0.00482,1.27599,0.62491,0.30135,0.28908,0.1715,0.6444,0.3076,0.3007,0.20692,1.7434,1.95615,1.4137,0.00492,0,0.000219667,0.000219667,0.000219667
