epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4505,2.09377,2.94326,2.2318,0.00662,2.29997,0.1465,0.13256,0.04745,0.01775,0.1657,0.13196,0.05002,0.01803,2.71283,3.95399,23.9323,0.01742,0,6e-05,6e-05,0.08806
2,57.3567,1.93693,2.65677,1.86903,0.00588,1.91551,0.18259,0.11349,0.04938,0.02024,0.21368,0.12303,0.05843,0.02318,2.58714,3.71902,15.2784,0.01649,0,0.000124507,0.000124507,0.0751245
3,70.4962,1.90241,2.54148,1.78523,0.00594,1.91145,0.26782,0.14623,0.08639,0.03705,0.29042,0.16562,0.10179,0.04481,2.34505,3.10555,8.09181,0.0146,0,0.000187016,0.000187016,0.062187
4,83.7684,1.85626,2.43236,1.67936,0.00547,1.71935,0.30185,0.16979,0.11654,0.04963,0.33825,0.1835,0.13602,0.0597,2.27628,2.87005,3.18849,0.01373,0,0.000246047,0.000246047,0.049246
5,96.9866,1.87595,2.51572,1.73337,0.00581,1.74347,0.40409,0.17605,0.14402,0.06267,0.39647,0.20941,0.16881,0.08088,2.09572,2.64234,3.05795,0.01223,0,0.000300211,0.000300211,0.0363002
6,110.236,1.8321,2.38152,1.63451,0.00544,1.55849,0.42007,0.17754,0.14101,0.06087,0.41754,0.20226,0.16663,0.07393,2.19525,2.68437,2.70253,0.01309,0,0.000348239,0.000348239,0.0233482
7,122.852,1.85212,2.42211,1.67721,0.00554,1.61211,0.39877,0.18677,0.14827,0.0624,0.42304,0.20375,0.16432,0.07138,2.17912,2.86168,2.30708,0.01301,0,0.000389024,0.000389024,0.010389
8,135.503,1.80252,2.37842,1.63978,0.00537,1.58081,0.44154,0.19511,0.15272,0.06806,0.46018,0.21656,0.17292,0.08407,2.05328,2.70897,2.11458,0.01186,0,0.000409365,0.000409365,0.000409365
9,148.848,1.82275,2.41483,1.66642,0.00553,1.54198,0.37966,0.22252,0.15461,0.07449,0.39565,0.24026,0.17464,0.09091,1.9026,2.29771,2.14226,0.01053,0,0.000383968,0.000383968,0.000383968
10,162.056,1.80035,2.35356,1.60721,0.00537,1.57629,0.41161,0.22282,0.1707,0.08285,0.43144,0.23682,0.18713,0.09877,1.86692,2.38932,1.85119,0.01009,0,0.000356459,0.000356459,0.000356459
11,181.075,2.17252,2.3522,2.31189,0.00633,1.41711,0.42034,0.20316,0.16574,0.08022,0.4471,0.21775,0.17775,0.09582,1.87691,2.52006,1.85781,0.01024,0,0.000327272,0.000327272,0.000327272
12,193.67,2.12238,2.25711,2.04987,0.00624,1.35584,0.49498,0.18975,0.16504,0.08496,0.51575,0.20077,0.17968,0.09831,1.83665,2.48678,2.19209,0.00997,0,0.000296866,0.000296866,0.000296866
13,206.424,2.12398,2.18236,1.99566,0.00569,1.17423,0.45715,0.20971,0.17815,0.09201,0.47089,0.2255,0.19173,0.10849,1.80981,2.35117,2.10745,0.00995,0,0.000265721,0.000265721,0.000265721
14,219.03,2.0944,2.16328,1.97803,0.0057,1.19811,0.45211,0.21626,0.19084,0.09888,0.46466,0.2371,0.20583,0.11735,1.8068,2.28973,2.06826,0.00977,0,0.000234329,0.000234329,0.000234329
15,231.749,1.99031,2.04507,1.95249,0.00567,1.13996,0.44644,0.21746,0.18927,0.09696,0.4797,0.23444,0.20598,0.11467,1.81804,2.24368,2.22997,0.00985,0,0.000203184,0.000203184,0.000203184
16,243.836,2.0413,2.09344,1.92401,0.00545,1.14388,0.44616,0.21507,0.18685,0.09715,0.48007,0.23265,0.20396,0.11394,1.79142,2.25955,2.2483,0.00964,0,0.000172778,0.000172778,0.000172778
17,256.119,2.05894,2.02091,1.89754,0.00528,1.13255,0.44616,0.21746,0.18722,0.09591,0.47778,0.23473,0.20718,0.11601,1.77968,2.28909,2.18245,0.00946,0,0.000143591,0.000143591,0.000143591
18,268.163,1.99137,2.04651,1.88795,0.00551,1.12837,0.45984,0.21895,0.18871,0.09773,0.48502,0.23567,0.20475,0.11472,1.77977,2.28513,2.08509,0.00942,0,0.000116082,0.000116082,0.000116082
19,280.158,2.03951,2.00774,1.88503,0.00538,1.04074,0.4605,0.22121,0.19006,0.09966,0.4901,0.23741,0.20668,0.11576,1.77899,2.24308,2.03888,0.00945,0,9.06849e-05,9.06849e-05,9.06849e-05
20,292.113,2.01668,2.02987,1.8795,0.00548,1.06889,0.45061,0.22258,0.19109,0.10079,0.48036,0.23985,0.20613,0.11606,1.76681,2.21246,2.04101,0.00937,0,6.78011e-05,6.78011e-05,6.78011e-05
21,304.927,1.99737,2.00545,1.8631,0.00534,1.02803,0.46336,0.23056,0.19493,0.10217,0.48588,0.24695,0.20929,0.11881,1.76153,2.22091,2.01947,0.00933,0,4.7791e-05,4.7791e-05,4.7791e-05
22,317.741,2.02468,2.00637,1.85207,0.00535,1.06898,0.48619,0.22609,0.19546,0.10264,0.50116,0.2442,0.21227,0.1199,1.75582,2.21934,2.02767,0.00927,0,3.09702e-05,3.09702e-05,3.09702e-05
23,330.592,1.97525,1.96949,1.8573,0.00547,1.0694,0.4828,0.22607,0.19612,0.10296,0.50582,0.24039,0.21223,0.12045,1.75405,2.22317,2.03835,0.00925,0,1.76041e-05,1.76041e-05,1.76041e-05
24,343.312,2.00278,1.97498,1.86861,0.00532,1.09437,0.47495,0.22669,0.19628,0.10324,0.49798,0.24158,0.2125,0.12008,1.76192,2.21933,2.01776,0.00931,0,7.90342e-06,7.90342e-06,7.90342e-06
25,355.365,1.9808,1.97098,1.85457,0.0054,1.11013,0.47663,0.22652,0.19652,0.1033,0.50282,0.24099,0.21252,0.12005,1.75649,2.21786,2.02076,0.00928,0,2.02113e-06,2.02113e-06,2.02113e-06
